name,price,year,location,mileage,engine,gearshift,addtional_info,image
BMW X2 sDrive20i mHEV,296 200,2024 ,Gliwice (Śląskie),5 000 km,Benzyna,Automatyczna,1 499 cm3 • 170 KM • X2 sDrive20i /Samochód demonstracyjny / Nowy Model,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im41dzlxaTh5MWNvZTItT1RPTU9UT1BMIn0.eG4XDL-ksXhbK6LCBb3K4Sya3NiOtwJH17e19zsjjMk/image;s=644x461
BMW Seria 5 520d xDrive,89 900,2016 ,Piekoszów (Świętokrzyskie),169 000 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • BMW 520d xdrive F10,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlmNHlvMzRvMWY2czEtT1RPTU9UT1BMIn0.4ZgiH0QCiAdbpS_4L7zypQSve2E3XMQEQNhh0zky-sY/image;s=320x240
BMW Seria 3 330d DPF Cabrio M Sport Edition,45 900,2009 ,Gdańsk (Pomorskie),381 000 km,Diesel,Automatyczna,"2 993 cm3 • 245 KM • [OKAZJA] BMW E93 3.0d 245KM AUTOMAT M Pakiet, czarny, hardtop, zadbany",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijlsa20zMzV5NWllbS1PVE9NT1RPUEwifQ.9NE4Ukq4YJ8Y9MVuoC4MWJ7IrldbEpVc7ipBXYdiR-Y/image;s=320x240
BMW X6 xDrive30d mHEV sport,440 600,2023 ,Chorzów (Śląskie),1 km,Diesel,Automatyczna,2 993 cm3 • 298 KM • xDrive30d M Sport 3.0 (298KM),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imp4eWFpMGQ1aXlnODItT1RPTU9UT1BMIn0.9BBeJavDHLVywPy-_ovx3NxWwiKIr0AbinKRT4Gb30w/image;s=644x461
BMW Seria 3 325i,21 800,2005 ,Radzymin (Mazowieckie),250 000 km,Benzyna,Manualna,2 497 cm3 • 218 KM • BMW seria 3 E90 325i,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFzcDB2eDlubzFyZTEtT1RPTU9UT1BMIn0.9_umrjJOS1ksA6heu7-BtAVQZCuh3nexp5HRfaZFIh8/image;s=320x240
BMW Seria 3,40 000,2008 ,Opoczno (Łódzkie),199 702 km,Benzyna,Manualna,2 996 cm3 • 272 KM • BMW seria 3,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Indka3hwcTBlM3pkbi1PVE9NT1RPUEwifQ.zBcJERY8_dWpNKC6zGSmTwWiihf2uE8i2fTELzMZDq4/image;s=320x240
BMW Seria 3 325i Touring,36 500,2009 ,Rzeszów (Podkarpackie),259 000 km,Benzyna,Manualna,2 996 cm3 • 218 KM,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImxsejB0M2dvNTh2bS1PVE9NT1RPUEwifQ.ZPAFwbPX_eDxRc2jM0EXoMQStiGuEKRAWQQWjE17L5o/image;s=320x240
BMW Seria 5 530i xDrive GPF Luxury Line sport,135 900,2019 ,Warszawa (Mazowieckie),75 604 km,Benzyna,Automatyczna,1 998 cm3 • 252 KM • Bmw G30 530i Xdrive linesport 2019 przebieg 75604 km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImI4MHI2MnlwOThpNDEtT1RPTU9UT1BMIn0.oK_9daKXvGwx5_BG91UBKJjQcYftiLFY0yS-p-uswAw/image;s=320x240
BMW X1 sDrive18d,189 420,2023 ,Ostrołęka (Mazowieckie),18 km,Diesel,Automatyczna,1 995 cm3 • 150 KM • I rej 2024 / Salon PL / Gwarancja /,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImN2MDE2OWIzYTJrNjEtT1RPTU9UT1BMIn0.O5JsFBLwZvR3I3wV91Igj7_EZzCu69Oes6zhJ-H-Uh8/image;s=320x240
BMW Seria 6 640d Gran Coupe,55 000,2015 ,Kalisz (Wielkopolskie),200 000 km,Diesel,Automatyczna,2 993 cm3 • 313 KM,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZkbGwyMDBmYzVicDItT1RPTU9UT1BMIn0.Jhq1w95myg1Gs46cC-MApdZ9JjK0U8jJ3hk0mdGaEoc/image;s=320x240
BMW Seria 1 118d,19 800,2010 ,Racibórz (Śląskie),228 000 km,Diesel,Manualna,1 995 cm3 • 143 KM • E87 118d Bardzo zadbana*sporo doinwestowana*Alu*Klima* 5drzwi LIFT,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRmMGlrYnozZmN3YzEtT1RPTU9UT1BMIn0.g87xX6pOyGrRXiOhmZ9SMzeXgeMls7k-a74gPJM8dTI/image;s=320x240
BMW Seria 5 535d xDrive Luxury Line,64 999,2013 ,Warszawa (Mazowieckie),291 000 km,Diesel,Automatyczna,"2 993 cm3 • 313 KM • BMW 535 D, 313 KM, doinwestowane auto, full opcja, garażowane",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ink1dTh0dG13dTNocTEtT1RPTU9UT1BMIn0.DQcHQb0eZQEGIjxjmq1sd2XtcHmL-lOtXq3zSeMltMQ/image;s=320x240
BMW X3 2.0d,28 900,2007 ,Świdnica (Dolnośląskie),350 000 km,Diesel,Manualna,1 995 cm3 • 149 KM • BMW X3 2.0 d M47 ! M pakiet,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImF6bWpmdmliaXhrYTEtT1RPTU9UT1BMIn0.UFN3E01St1Mj8cUsTf3dkO9TsPC_CCJWqc0b21nX5rQ/image;s=320x240
BMW Seria 5,50 000,2013 ,Wrocław (Dolnośląskie),174 000 km,Benzyna,Automatyczna,1 997 cm3 • 184 KM • Pierwszy właściciel,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InY5dWlwbGFnd2VpdS1PVE9NT1RPUEwifQ.O6OHx8-loPn51JkymjguQL8BINGEZNYutxAj72cS7mg/image;s=320x240
BMW X3 2.0d,27 300,2006 ,Kraków (Małopolskie),340 000 km,Diesel,Manualna,"1 995 cm3 • 150 KM • napęd 4x4 w świetnym stanie, gotowe do jazdy, doinwestowane",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhoenU3bjdmNjA2ajEtT1RPTU9UT1BMIn0.uJolrea3woiZqQPUtnHRZpMlVWj4_wuKX8_XPTKyh-Y/image;s=320x240
BMW X3,63 900,2014 ,Łapy (Podlaskie),122 000 km,Benzyna,Automatyczna,1 997 cm3 • 184 KM • Bmw x3 Xdrive,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imw3djFqMWpodTc4bTItT1RPTU9UT1BMIn0.GpSmj91m8teDsamkLpxqfi-bl75XL7YGI5dhAQcLueg/image;s=320x240
BMW Seria 5 530i GPF xDrive,120 000,2019 ,Żyrardów (Mazowieckie),96 000 km,Benzyna,Automatyczna,1 998 cm3 • 252 KM • 530i 252KM XDRIVE *SALON POLSKA* Bezwypadkowa ! 96.000 KM ! FV 23% !,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImlwbmlzN2VnNXljNy1PVE9NT1RPUEwifQ.j78AZoT9LRQhvDoC9Li2ZAWOMVdmBvK3xTW6DP_p50I/image;s=320x240
BMW Seria 5 520d xDrive M Sport sport,149 990,2017 ,Łódź (Łódzkie),69 900 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • Bmw 520XD xdrive X-drive m-pakiet piękny bezwypadkowy idealny,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjY1cHRlYWp6NXF6dTMtT1RPTU9UT1BMIn0.q0nL6aIwK8VVyTKHo2Ss_ABX5Gc9gg_MsmwyPYvE0rs/image;s=320x240
BMW Seria 3 325i,30 900,2006 ,Trablice (Mazowieckie),363 400 km,Benzyna+LPG,Manualna,2 497 cm3 • 218 KM • 325i LPG M pakiet z Vin Le mans blau Xenon,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imt4em0zc256aXFrZi1PVE9NT1RPUEwifQ.pmzpZ6NrKCKrPRnBZnA4FI7MxQhvEJ-qvGcFDphDkZs/image;s=320x240
BMW X6 xDrive30d mHEV sport,403 304,2024 ,Warszawa (Mazowieckie),1 km,Diesel,Automatyczna,"2 993 cm3 • 298 KM • xDrive30d M Pro, Pakiet Travel, Pakiet Comfort, Duży Rabat",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inc2NTM1a290bXUxajMtT1RPTU9UT1BMIn0.CepvLV33RlXsM0R0enHB1SywncomwVSpaA44JL3hmY0/image;s=644x461
BMW Seria 5 525d,12 900,2001 ,Warszawa (Mazowieckie),340 000 km,Diesel,Automatyczna,2 497 cm3 • 163 KM • BMW 525d/E39/2.5d/Automat/Zamiana???,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjI0ajVxNnp2eTB6bTItT1RPTU9UT1BMIn0.olFUDQtVsoj0gtzL7TVKTwtWsxsw7Jho_tlBqx-xHKw/image;s=320x240
BMW Seria 4 420i M Sport,189 000,2021 ,Pionki (Mazowieckie),37 600 km,Benzyna,Automatyczna,1 998 cm3 • 184 KM • BMW 420i Cabrio,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFzMTd6M2E5cXM4cC1PVE9NT1RPUEwifQ.lttW-TvibytuT1IM0Olc_NorVtCTBdPwmiuYfGIfiEI/image;s=320x240
BMW X3 xDrive20d mHEV M Sport sport,205 900,2021 ,Warszawa (Mazowieckie),76 100 km,Diesel,Automatyczna,"1 995 cm3 • 190 KM • BMW X320d XDrive prod. 2021, pierwsza rejestracja kwiecień 2022",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImxhbGN1a3V5dnN3aDEtT1RPTU9UT1BMIn0.65uLaXQ5ATV5dSZSuiP7SFqfM0NU3TG8h5Uf0VAhUmI/image;s=320x240
BMW Seria 5 520d Touring,57 400,2015 ,Jonkowo (Warmińsko-mazurskie),230 000 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • Automat 190 ps skóra serwis,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNxYXE2eHMxcnJzeDItT1RPTU9UT1BMIn0.h7q6qdFaIYOBpwbuiSTd-Nq8ZWwSctOp_I3FpMyy4yI/image;s=320x240
BMW X3 3.0sd,33 000,2007 ,Mogilno (Kujawsko-pomorskie),230 000 km,Diesel,Automatyczna,2 993 cm3 • 286 KM • BMW X3 2007 3.0 Diesel - Drugi właściciel,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imh5d2xzdWVreHU0LU9UT01PVE9QTCJ9.Cp0gOHa69nu65WWnfR91I2OUruBw9PlvgTLAGvBS60U/image;s=320x240
BMW Seria 5 528i xDrive Luxury Line,89 000,2016 ,Warszawa (Mazowieckie),131 000 km,Benzyna,Automatyczna,1 997 cm3 • 245 KM • bmw 5 najbogatsza wersja,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijlka3FuYjhwNGNzazItT1RPTU9UT1BMIn0.zqcZR0Edu9ChpDXACz6AwMccLTekVzyp-TMr7zpCqmM/image;s=320x240
BMW Seria 5 520d xDrive mHEV M Sport,299 900,2023 ,Chorzów (Śląskie),1 km,Diesel,Automatyczna,1 995 cm3 • 197 KM • Od ręki - 2.0 (197KM) M Sport | Pakiet Comfort + Pakiet Travel,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFnMWNkMWo2eG1pby1PVE9NT1RPUEwifQ.dOetlCrRwZft4RDtcYw5Lygu9Slf7B2objV1nvM4RM4/image;s=644x461
BMW X5,424 300,2024 ,Chorzów (Śląskie),1 km,Diesel,Automatyczna,2 993 cm3 • 298 KM • Od ręki - 3.0 (298KM) M Sport | Pakiet Innowacji + Pakiet Travel,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InBmdnQ1cmY1c3dodDEtT1RPTU9UT1BMIn0.cmEy94Q-RGAR6ozqmU4AIancvq8yPy36JD1M_v5mOlU/image;s=644x461
BMW Seria 5,299 900,"",Wrocław (Dolnośląskie),Diesel,Automatyczna,2023 ,1 995 cm3 • 197 KM • BMW 520d Xdrive,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InhneWFteWl2dmxqdDItT1RPTU9UT1BMIn0.cVusyv38lGdXTDwNY1QDO3LWKINH3g1H44XAZDvCu74/image;s=644x461
BMW X5 xDrive40d mHEV M Sport sport,569 000,2023 ,Warszawa (Mazowieckie),4 004 km,Diesel,Automatyczna,2 993 cm3 • 340 KM • 40d/Pakiet Innowacji/Bowers/Hak/karbon/Zawieszenie pneu/ Polski salonn,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRhM3Z4aW1rcWRjMTItT1RPTU9UT1BMIn0.yRhhkSQ_fW8i77g7Iv6os8Ep4YY64aVJCuzO6BJZPWU/image;s=320x240
BMW 3GT 320d xDrive GT Sport-Aut M Sport,71 600,2015 ,Jonkowo (Warmińsko-mazurskie),194 000 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • M sport automat x drive 190 ps,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjM4bnB3czhoejVmbS1PVE9NT1RPUEwifQ.wCa8_3aU1aiwN7S38rz0UiSavtN1DGDnHfOxTme-hAs/image;s=320x240
BMW 3GT,68 000,2013 ,Ostrów Wielkopolski (Wielkopolskie),200 800 km,Diesel,Automatyczna,1 995 cm3 • 184 KM • BMW 3 GT stan bardzo dobry 320 Gran Turismo 2013,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1uZmd5aGhveGFnZjMtT1RPTU9UT1BMIn0.RHG2QSoDwknAdtjUqFLlDTr037pREl4H3sankgKDjiE/image;s=320x240
BMW X2 sDrive20i mHEV,296 200,2024 ,Gliwice (Śląskie),5 000 km,Benzyna,Automatyczna,1 499 cm3 • 170 KM • X2 sDrive20i /Samochód demonstracyjny / Nowy Model,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im41dzlxaTh5MWNvZTItT1RPTU9UT1BMIn0.eG4XDL-ksXhbK6LCBb3K4Sya3NiOtwJH17e19zsjjMk/image;s=644x461
BMW Seria 5 520d xDrive,89 900,2016 ,Piekoszów (Świętokrzyskie),169 000 km,Diesel,Automatyczna,1 995 cm3 • 190 KM • BMW 520d xdrive F10,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlmNHlvMzRvMWY2czEtT1RPTU9UT1BMIn0.4ZgiH0QCiAdbpS_4L7zypQSve2E3XMQEQNhh0zky-sY/image;s=320x240
BMW Seria 3 330d DPF Cabrio M Sport Edition,45 900,2009 ,Gdańsk (Pomorskie),381 000 km,Diesel,Automatyczna,"2 993 cm3 • 245 KM • [OKAZJA] BMW E93 3.0d 245KM AUTOMAT M Pakiet, czarny, hardtop, zadbany",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijlsa20zMzV5NWllbS1PVE9NT1RPUEwifQ.9NE4Ukq4YJ8Y9MVuoC4MWJ7IrldbEpVc7ipBXYdiR-Y/image;s=320x240
BMW X6 xDrive30d mHEV sport,440 600,2023 ,Chorzów (Śląskie),1 km,Diesel,Automatyczna,2 993 cm3 • 298 KM • xDrive30d M Sport 3.0 (298KM),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imp4eWFpMGQ1aXlnODItT1RPTU9UT1BMIn0.9BBeJavDHLVywPy-_ovx3NxWwiKIr0AbinKRT4Gb30w/image;s=644x461
BMW Seria 3 325i,21 800,2005 ,Radzymin (Mazowieckie),250 000 km,Benzyna,Manualna,2 497 cm3 • 218 KM • BMW seria 3 E90 325i,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFzcDB2eDlubzFyZTEtT1RPTU9UT1BMIn0.9_umrjJOS1ksA6heu7-BtAVQZCuh3nexp5HRfaZFIh8/image;s=320x240
BMW Seria 3,40 000,2008 ,Opoczno (Łódzkie),199 702 km,Benzyna,Manualna,2 996 cm3 • 272 KM • BMW seria 3,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Indka3hwcTBlM3pkbi1PVE9NT1RPUEwifQ.zBcJERY8_dWpNKC6zGSmTwWiihf2uE8i2fTELzMZDq4/image;s=320x240
BMW Seria 3 325i Touring,36 500,2009 ,Rzeszów (Podkarpackie),259 000 km,Benzyna,Manualna,2 996 cm3 • 218 KM,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImxsejB0M2dvNTh2bS1PVE9NT1RPUEwifQ.ZPAFwbPX_eDxRc2jM0EXoMQStiGuEKRAWQQWjE17L5o/image;s=320x240
BMW Seria 5 530i xDrive GPF Luxury Line sport,135 900,2019 ,Warszawa (Mazowieckie),75 604 km,Benzyna,Automatyczna,1 998 cm3 • 252 KM • Bmw G30 530i Xdrive linesport 2019 przebieg 75604 km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImI4MHI2MnlwOThpNDEtT1RPTU9UT1BMIn0.oK_9daKXvGwx5_BG91UBKJjQcYftiLFY0yS-p-uswAw/image;s=320x240
BMW X1 sDrive18d,189 420,2023 ,Ostrołęka (Mazowieckie),18 km,Diesel,Automatyczna,1 995 cm3 • 150 KM • I rej 2024 / Salon PL / Gwarancja /,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImN2MDE2OWIzYTJrNjEtT1RPTU9UT1BMIn0.O5JsFBLwZvR3I3wV91Igj7_EZzCu69Oes6zhJ-H-Uh8/image;s=320x240
BMW Seria 6 640d Gran Coupe,55 000,2015 ,Kalisz (Wielkopolskie),200 000 km,Diesel,Automatyczna,2 993 cm3 • 313 KM,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZkbGwyMDBmYzVicDItT1RPTU9UT1BMIn0.Jhq1w95myg1Gs46cC-MApdZ9JjK0U8jJ3hk0mdGaEoc/image;s=320x240
